account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,total_subscriptions,avg_mrr,avg_arr,total_upgrades,total_downgrades,auto_renew_count,trial_count,total_usage,avg_usage_duration,total_errors,beta_feature_usage,ticket_count,avg_resolution_time,avg_first_response,avg_satisfaction,total_escalations,total_refund,pre_upgrade_count,pre_downgrade_count,reactivation_count,churn_events_count,tenure_days,usage_score,support_score,subscription_stability,customer_health_score,health_status
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,10,1260.3,15123.6,1,0,8,2,535,2769.8,38,4,2.0,23.0,91.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,616,46.097814776274724,60.0,45.0,49.93912591050989,At Risk
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,8,1250.5,15006.0,3,0,6,0,355,2889.6,14,2,3.0,38.0,73.33333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1042,27.36732570239334,80.0,45.0,48.44693028095734,At Risk
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,15,1219.0666666666666,14628.8,1,1,15,1,821,3026.626506024096,48,5,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0,62.66,0.0,1.0,0.0,2.0,666,75.85848074921957,93.33333333333334,75.0,80.84339229968784,Healthy
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,7,1325.0,15900.0,2,0,5,1,382,2500.682926829268,21,5,2.0,29.0,174.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1032,30.17689906347555,60.0,35.0,40.570759625390224,At Risk
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,9,5417.888888888889,65014.666666666664,2,0,6,1,579,3720.3275862068967,31,4,7.0,42.285714285714285,107.85714285714286,3.8,1.0,0.0,1.0,0.0,0.0,1.0,605,50.67637877211239,71.0,40.0,53.57055150884496,At Risk
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,11,1528.1818181818182,18338.18181818182,0,0,9,1,457,2990.2340425531916,21,6,4.0,43.0,74.75,3.0,0.0,0.0,1.0,0.0,0.0,3.0,986,37.98126951092612,60.0,45.0,46.69250780437045,At Risk
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,9,1848.111111111111,22177.333333333332,0,0,8,1,373,2999.076923076923,14,3,6.0,39.166666666666664,89.83333333333333,3.8,3.0,0.0,0.0,0.0,0.0,0.0,838,29.240374609781483,61.0,40.0,41.99614984391259,At Risk
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,10,1304.8,15657.6,0,0,9,1,382,2719.6585365853657,23,5,3.0,42.666666666666664,57.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1166,30.17689906347555,60.0,45.0,43.570759625390224,At Risk
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,10,2305.7,27668.4,1,0,7,3,472,3029.7708333333335,29,5,4.0,32.5,75.25,3.6666666666666665,0.0,0.0,1.0,0.0,0.0,3.0,652,39.54214360041624,73.33333333333333,40.0,49.816857440166494,At Risk
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,6,1464.5,17574.0,1,0,4,1,257,2734.0,14,2,3.0,31.333333333333332,71.33333333333333,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1143,17.16961498439126,70.0,25.0,35.367845993756504,Critical
